ID,CURRENCY,AMOUNT,LOCATION
52370966,USD,0,Belgrano
52737319,$,0,Congreso
52721437,USD,600,Belgrano
52727878,$,350000,Villa Urquiza
52701886,USD,1000,Belgrano
52698088,USD,800,Núñez
52630420,USD,450,Recoleta
52630726,$,350000,Almagro
52630769,USD,350,Saavedra
52754852,$,450000,Coghlan
52765404,$,300000,Villa Urquiza
52857103,$,480000,Congreso
52852980,$,250000,Villa del Parque
52846482,USD,450,Floresta
52862026,$,260000,Villa Luro
52842347,$,600000,Villa Crespo
52830945,$,350000,Barracas
52841238,$,750000,Palermo
52863788,$,580000,Villa Real
52834401,$,350000,Belgrano
52838640,USD,0,Villa Crespo
52840838,USD,1050,Saavedra
52863078,$,260000,Coghlan
52860328,USD,400,Abasto
52831301,$,350000,Caballito
52838256,$,290000,Núñez
52816191,$,1300000,Caballito
52816394,$,500000,Palermo
52821781,$,350000,Villa Devoto
52821825,$,0,San Cristobal
52806737,USD,480,Barrio Norte
52780548,$,550000,Belgrano
52977199,$,430000,Villa Urquiza
52974834,$,380000,Palermo
52969298,$,350000,Floresta
52956683,$,400000,Almagro
52977315,USD,700,Villa Urquiza
52977562,USD,300,San Nicolás
52969492,$,700000,Barrio Norte
52966432,$,380000,Colegiales
53028039,USD,1600,Palermo
53033758,$,350000,Balvanera
53105519,$,1,Caballito
53105866,$,380000,Mataderos
53105929,$,485000,Villa Crespo
53106287,$,300000,Villa Urquiza
53102179,$,480000,Belgrano
52958205,$,500000,Palermo
52842891,$,270000,Pompeya
52843615,USD,950,Recoleta
52983491,USD,300,Congreso
53084700,$,500000,Núñez
53088209,USD,600,Recoleta
53088331,$,540000,Núñez
53089719,$,270000,Boedo
53109036,USD,850,Congreso
53109044,$,350000,Constitución
53109051,$,420000,Parque Chacabuco
53109142,$,250000,San Cristobal
53109338,$,650000,Belgrano
53119475,$,450000,Belgrano
53109035,$,330000,Belgrano
52965173,$,550000,Villa Urquiza
53067406,$,550000,Villa Urquiza
52912435,$,550000,Palermo
53120236,USD,1500,Belgrano
53120357,$,340000,Recoleta
51103898,USD,2850,Puerto Madero
50095498,$,650000,Palermo
49884886,$,0,Parque Patricios
41192116,$,150000,Balvanera
45618429,$,210000,Centro / Microcentro
52824271,USD,0,Parque Patricios
52824272,USD,0,Parque Patricios
53032266,$,250000,Almagro
53032273,$,250000,Almagro
53004244,$,250000,Caballito
53115924,$,480000,Boedo
53016399,USD,500,San Nicolás
53005205,USD,2300,Coghlan
53033389,$,490000,Caballito
53033399,$,275000,Villa Riachuelo
53033555,$,290000,Saavedra
53035550,$,280000,Coghlan
53035579,$,420000,Balvanera
53035602,USD,550,Centro / Microcentro
53035606,$,290000,Floresta
53035681,$,280000,San Telmo
53035685,$,570000,Villa Urquiza
53036422,USD,700,Flores
52863179,$,330000,Villa del Parque
52860412,USD,3900,Puerto Madero
53035491,$,450000,Tribunales
53035495,$,380000,Barrio Norte
53035498,USD,400,Villa Crespo
53035788,$,450000,Agronomía
53035792,USD,900,Barrio Norte
53036528,$,480000,Barrio Norte
53119475,$,450000,Belgrano
53109035,$,330000,Belgrano
52965173,$,550000,Villa Urquiza
53067406,$,550000,Villa Urquiza
52912435,$,550000,Palermo
53120236,USD,1500,Belgrano
53120357,$,340000,Recoleta
51103898,USD,2850,Puerto Madero
50095498,$,650000,Palermo
49884886,$,0,Parque Patricios
41192116,$,150000,Balvanera
45618429,$,210000,Centro / Microcentro
52824271,USD,0,Parque Patricios
52824272,USD,0,Parque Patricios
53032266,$,250000,Almagro
53032273,$,250000,Almagro
53004244,$,250000,Caballito
53115924,$,480000,Boedo
52963917,$,330000,Barracas
52964068,$,330000,Caballito
52964117,$,480000,Caballito
52964204,$,450000,Balvanera
52964307,$,625000,Núñez
52964822,USD,900,Recoleta
53010757,$,280000,Villa Urquiza
53011084,$,500000,Palermo
